,mean_tp_pr,mean_st_pr,max_tp_pr,max_st_pr,sum_st_pr,sum_tp_pr,num_tp_pr,num_st_pr,num_trade_pr,max_st,max_st_power,min_st,min_st_power,max_tp,max_tp_power,min_tp,min_tp_power,value_front_intervals_pr_upper,value_front_intervals_pr_upper_power,value_front_intervals_pr_lower,value_front_intervals_pr_lower_power,value_back_intervals_pr_upper,value_back_intervals_pr_upper_power,value_back_intervals_pr_lower,value_back_intervals_pr_lower_power,diff_extereme,money,draw_down,score,methode
0,0.170911747,0.013615538,0.34,0.219825706,2.974091918,36.55386306,180,57,237,0.07,0.06779661,0.02,0.033898305,0.34,0.619047619,0.21,0.19047619,-0.194406298,0.555555556,-0.29657721,0.333333333,-0.346558352,0.833333333,-0.510716954,0.5,0.0,24533.46875,4.126347228,51.9149639,pr
1,0.2631204762482623,0.0412533695910775,0.35,0.2,6.078192166247329,46.09822169661392,155,45,200,0.06,0.0990990990990991,0.02,0.1531531531531531,0.29,0.4090909090909091,0.24,0.5909090909090909,-2.118882225290675,1.0,-4.781671381429948,0.3846153846153846,-6.390007640087574,0.425,-10.286472941684124,0.35,0.0,36758.11570962655,8.090130719283275,51.90447701240477,pr
2,0.267138938,0.052357425,0.4,0.17,4.702724456,27.38681708,87,31,118,0.17,0.143497758,0.11,0.098654709,0.4,0.2,0.31,0.2,-0.084708053,0.818181818,-0.274589375,1.0,-0.592458601,0.929411765,-0.896873097,0.635294118,0.0,4666.616726,8.421742393,51.90059886,pr
3,0.28801356,0.048516302,0.48,0.16,10.96569124,61.97341086,175,90,265,0.16,0.078947368,0.1,0.078947368,0.48,1.0,0.4,0.111111111,-0.151021792,0.833333333,-0.184983744,0.416666667,-0.245600817,0.533333333,-0.306841518,0.266666667,5.0,58316.11846,11.85628723,51.89591571,pr
4,0.267087962,0.045877662,0.49,0.16,9.09370072,52.60516031,152,81,233,0.16,0.818181818,0.08,0.454545455,0.49,1.0,0.34,0.408163265,-0.543763383,1.0,-0.773357564,1.0,-0.984295544,0.548387097,-1.416691076,0.548387097,5.0,43291.67629,9.478664372,51.88418326,pr
5,0.367017602,0.05302692,0.59,0.19,5.304581149,35.90570311,75,42,117,0.19,0.31147541,0.09,1.0,0.59,1.0,0.48,0.197674419,-4.342087674,1.0,-6.622736075,0.792682927,-7.912458441,1.0,-11.67494039,0.61627907,5.0,16725.90772,10.57841015,51.85824368,pr
6,0.058524775,0.018565075,0.29,0.1,9.637811909,37.05599138,487,122,609,0.1,0.10881295,0.06,0.165467626,0.07,0.58546169,0.05,0.956777996,-0.241564709,1.0,-0.324400071,0.804459691,-0.467909837,0.731092437,-0.59414586,0.651260504,0.0,12296.46287,4.989063915,51.82807634,pr
7,0.068605881,0.017705752,0.38,0.12,5.730654829,28.65813907,368,54,422,,,,,,,,,,,,,,,,,,5123.948283,6.115076619,51.82740575,
8,0.068605881,0.017705752,0.38,0.12,5.730654829,28.65813907,368,54,422,,,,,,,,,,,,,,,,,,5123.948283,6.115076619,51.82740575,
9,0.068605881,0.017705752,0.38,0.12,5.730654829,28.65813907,368,54,422,,,,,,,,,,,,,,,,,,5123.948283,6.115076619,51.82740575,
