,mean_tp_pr,mean_st_pr,max_tp_pr,max_st_pr,sum_st_pr,sum_tp_pr,num_tp_pr,num_st_pr,num_trade_pr,max_st,max_st_power,min_st,min_st_power,max_tp,max_tp_power,min_tp,min_tp_power,value_front_intervals_pr_upper,value_front_intervals_pr_upper_power,value_front_intervals_pr_lower,value_front_intervals_pr_lower_power,value_back_intervals_pr_upper,value_back_intervals_pr_upper_power,value_back_intervals_pr_lower,value_back_intervals_pr_lower_power,diff_extereme,money,draw_down,score,methode
1,0.410436735,0.133110407,0.7,0.35,31.7024723,100.8749418,198,107,305,0.35,0.448979592,0.22,0.448979592,0.7,1.0,0.52,0.25862069,-0.261472422,1.0,-0.359825756,0.523809524,-0.171119494,1.0,-0.222207667,1.0,5.0,92755.26319,19.05470055,63.74928992,pr
2,0.627392933,0.143428808,0.94,0.61,30.8745333,121.3856254,158,90,248,0.61,0.131578947,0.28,0.184210526,0.94,0.587209302,0.76,0.174418605,-0.00146072,1.0,-0.002833793,0.565217391,-0.000101592,0.872727273,-0.000823682,1.0,0.0,135343.9061,12.39154457,63.6681733,pr
3,0.465420254,0.137614093,0.65,0.34,40.46947755,133.2637124,232,130,362,0.34,1.0,0.27,0.906779661,0.65,1.0,0.57,1.0,-2.292443685,1.0,-2.621662733,1.0,-1.346982627,1.0,-1.533789281,1.0,5.0,140703.9313,21.29748578,63.59553315,pr
4,0.257970198,0.0574034,0.58,0.2,29.51414021,110.2193418,308,250,558,0.2,0.19858156,0.08,0.063829787,0.58,0.277777778,0.35,0.462962963,-0.525189364,1.0,-1.315076162,0.4,0.007060585,0.566666667,-0.497831537,0.8,0.0,117523.8779,12.40826105,62.83064832,pr
5,0.714744372,0.195204751,0.97,0.56,27.1265802,104.5227009,121,65,186,0.56,0.210526316,0.36,0.357894737,0.97,1.0,0.85,0.10625,-0.078061599,0.914285714,-0.10752264,0.914285714,-0.021967195,1.0,-0.040130818,1.0,5.0,106176.3683,30.61600595,62.60785926,pr
6,0.412495945,0.128976457,0.71,0.35,38.05247684,116.8602756,221,140,361,0.35,0.257142857,0.22,0.257142857,0.71,1.0,0.52,0.308823529,-0.280186781,1.0,-0.378958276,0.538461538,-0.178209102,1.0,-0.228646365,1.0,5.0,113272.6957,17.05997442,62.26963991,pr
7,0.400073981,0.137176533,0.7,0.35,40.48919048,115.8841856,230,135,365,0.35,0.448979592,0.22,0.448979592,0.7,1.0,0.52,0.25862069,-0.261472422,1.0,-0.359825756,0.523809524,-0.171119494,1.0,-0.222207667,1.0,5.0,106202.9464,14.6626957,62.01791625,pr
8,0.406971104,0.134159794,0.7,0.35,37.4353556,108.5061394,213,125,338,0.35,0.448979592,0.22,0.448979592,0.7,1.0,0.52,0.25862069,-0.261472422,1.0,-0.359825756,0.523809524,-0.171119494,1.0,-0.222207667,1.0,5.0,96217.9987,17.83842734,61.70446365,pr
9,0.734519027,0.23050507,0.96,0.54,31.12703703,109.3498824,123,64,187,0.54,1.0,0.44,1.0,0.96,1.0,0.9,1.0,-0.017326196,1.0,-0.020028343,1.0,-0.005685457,1.0,-0.00731989,1.0,5.0,107193.5576,32.60199189,61.62916327,pr
10,0.772474756,0.213358812,0.96,0.47,30.16688409,110.0041762,117,65,182,0.47,0.549450549,0.44,0.549450549,0.96,1.0,0.95,1.0,-0.056978194,1.0,-0.05956425,1.0,-0.023114036,1.0,-0.02460374,1.0,5.0,109999.5621,45.94264274,61.12765418,pr
11,0.732419074,0.236271192,1.01,0.6,38.17149037,126.3127459,140,78,218,0.6,0.239130435,0.43,0.22826087,1.01,1.0,0.89,0.220183486,-0.272538978,1.0,-0.344508026,0.492537313,-0.131871894,1.0,-0.174669163,1.0,5.0,127855.8997,26.23028554,60.69390201,pr
12,0.78352694,0.217053896,1.0,0.49,28.57932756,103.1427023,108,62,170,0.49,0.179775281,0.41,0.415730337,1.0,1.0,0.95,1.0,-0.012023759,1.0,-0.013406202,1.0,-0.005188628,1.0,-0.006174105,1.0,5.0,97443.51753,43.95058111,60.68657653,pr
13,0.6714416,0.208265194,0.94,0.57,38.27563389,128.0161086,155,89,244,0.57,0.091743119,0.36,0.183486239,0.94,0.083969466,0.81,0.13740458,-0.013068617,1.0,-0.018772016,0.684210526,-0.003952019,0.960784314,-0.007049024,1.0,0.0,132011.2424,25.28200094,60.49702184,pr
14,0.726020241,0.230936158,0.91,0.46,29.25423424,102.5495999,116,64,180,0.46,0.089552239,0.44,0.089552239,0.91,0.075757576,0.89,0.075757576,-0.193555223,0.814814815,-0.201179615,0.814814815,-0.056774869,1.0,-0.062204698,1.0,0.0,97409.03683,44.89500393,60.02983709,pr
15,0.745024478,0.158152156,1.11,0.64,22.7156595,113.3393028,126,62,188,0.64,0.060606061,0.28,0.075757576,1.11,0.737704918,0.88,0.131147541,-0.015498952,0.6,-0.026728208,0.4,-0.006825744,0.586206897,-0.012363924,0.586206897,0.0,133231.4713,23.95466549,59.62024538,pr
16,0.745674349,0.230785025,0.94,0.48,31.11825903,108.3996879,119,67,186,0.48,0.435643564,0.43,0.435643564,0.94,1.0,0.92,1.0,-0.017757203,0.662921348,-0.019048454,0.662921348,-0.004420202,1.0,-0.005283896,1.0,5.0,103829.4787,45.9172172,59.54372319,pr
17,0.416584297,0.11936213,0.77,0.39,32.94457984,102.8541591,184,132,316,0.39,0.364197531,0.18,0.364197531,0.77,1.0,0.54,0.228915663,-0.180084453,1.0,-0.413394203,1.0,0.025424736,1.0,-0.1203407,1.0,6.0,93903.85294,25.61378047,59.22248922,pr
18,0.75908915,0.232622624,0.92,0.5,33.56155514,111.5190339,126,70,196,0.5,0.025,0.44,0.05,0.92,0.089285714,0.89,0.089285714,-5.609746155,1.0,-6.510508693,1.0,0.556565216,0.2,-0.084978125,0.36,5.0,104489.2522,39.1093249,59.12056938,pr
19,0.259719894,0.021220901,0.43,0.16,1.52225226,25.00392332,88,14,102,0.16,1.0,0.08,0.931034483,0.43,1.0,0.28,0.58490566,-0.096406799,1.0,-0.150064553,1.0,-0.058726181,1.0,-0.083518177,1.0,5.0,5550.507636,7.893462852,58.94398552,pr
