,mean_tp_pr,mean_st_pr,max_tp_pr,max_st_pr,sum_st_pr,sum_tp_pr,num_tp_pr,num_st_pr,num_trade_pr,max_st,max_st_power,min_st,min_st_power,max_tp,max_tp_power,min_tp,min_tp_power,value_front_intervals_pr_upper,value_front_intervals_pr_upper_power,value_front_intervals_pr_lower,value_front_intervals_pr_lower_power,value_back_intervals_pr_upper,value_back_intervals_pr_upper_power,value_back_intervals_pr_lower,value_back_intervals_pr_lower_power,diff_extereme,money,draw_down,score,methode
0,0.155373724,0.038693418,0.3,0.12,34.4032639,120.009215,512,472,984,0.12,0.103723404,0.07,0.053191489,0.3,0.254545455,0.22,0.2,0.117038334,0.617021277,-0.007329747,0.840425532,-0.040899204,1.0,-0.157263045,0.604651163,0.0,126210.6144,8.021707318,56.81100736519371,pr
1,0.13082779,0.053253081,0.22,0.15,54.59594753,131.9016169,730,494,1224,0.15,0.428989751,0.11,0.229868228,0.22,1.0,0.17,0.423153693,0.002450712,1.0,-0.055171863,0.880681818,-0.06381541,1.0,-0.126614735,1.0,5.0,108195.149,14.60597021,53.02175751,pr
2,0.230978041,0.081880903,0.34,0.18,55.57688841,138.0166648,445,348,793,0.18,0.28440367,0.16,0.28440367,0.34,0.473015873,0.31,0.473015873,0.054703346,1.0,0.024960884,1.0,-0.095995981,1.0,-0.123254147,1.0,5.0,112881.0794,21.08501942,52.77817483,pr
3,0.209039291,0.069182585,0.38,0.22,46.12795364,119.1616885,416,333,749,0.22,0.2,0.13,0.071428571,0.38,0.454545455,0.26,0.454545455,-0.011175707,1.0,-0.149232962,0.666666667,-0.106596444,1.0,-0.272455096,0.590909091,0.0,97957.77925,17.90273492,52.55298862,pr
4,0.116275809,0.044771341,0.23,0.18,40.91879681,107.7497531,659,415,1074,0.18,0.230326296,0.09,0.195777351,0.23,1.0,0.15,0.382352941,-0.012360449,0.996415771,-0.11912111,1.0,-0.073702293,1.0,-0.203627704,0.639455782,5.0,87282.56643,14.25539889,52.41146884,pr
5,0.408832702,0.163142492,2.006554771,0.591049251,53.51900613,119.1240217,232,166,398,0.36,0.208333333,0.28,0.208333333,0.67,1.0,0.57,0.55,3.037705239,1.0,2.600774583,1.0,1.640296864,1.0,1.337116389,1.0,5.0,65445.26667,30.51825536,52.3708626,pr
6,0.136624858,0.049160005,0.3,0.11,52.85997518,137.6825756,660,583,1243,0.11,0.272108844,0.07,0.197278912,0.22,0.346666667,0.16,0.266666667,-0.038161154,1.0,-0.09528446,0.705882353,-0.054682245,1.0,-0.12188287,0.7375,0.0,121761.8351,23.96168957,51.90515989,pr
7,0.236206811,0.083964147,0.34,0.18,55.42888263,137.1218646,427,346,773,0.18,0.28440367,0.16,0.28440367,0.34,0.473015873,0.31,0.473015873,0.054703346,1.0,0.024960884,1.0,-0.095995981,1.0,-0.123254147,1.0,5.0,111201.4765,18.9219007,51.8587292,pr
8,0.294019524,0.122247994,0.85,0.66,55.30094267,151.022887,440,204,644,0.66,0.142566191,0.64,0.142566191,0.85,0.144160584,0.83,0.144160584,2.124667054,1.0,2.048911535,1.0,0.726874465,0.983783784,0.675143612,0.983783784,5.0,154747.8419,39.46817642,51.79970826,pr
9,0.259328784,0.090105433,0.39,0.21,58.07230543,147.359597,416,337,753,0.21,1.0,0.17,0.778385773,0.39,1.0,0.33,1.0,0.03442205,1.0,0.001083146,1.0,-0.068233021,1.0,-0.099369896,1.0,5.0,129389.1242,26.10226266,51.73024971,pr
