,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
0,HLCC/4,4,55,2,macd,4,156,6,2,0.14,207,891,98,267,284,209,105,24,203,326,218,243,147,96,868,507,309,270,811,805,294,256,15,469,753,580,207,522,697,253,14,29,72,13,698,5,26,83,17,351,18,10,0.4,0.16,1.02,1.12,1.0,1.04,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
1,close,3,62,2,macd,4,268,6,12,0.13,192,706,267,204,672,33,118,901,38,65,504,393,76,927,896,672,430,296,1000,662,425,414,721,367,873,884,680,969,145,872,20,34,59,7,550,16,24,27,5,169,25,21,0.2,0.19,1.04,1.13,1.12,1.09,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
2,HLC/3,4,54,1,macdh,4,254,6,11,0.14,79,789,346,305,999,159,139,191,101,34,329,271,382,510,691,568,433,405,966,909,394,326,250,427,631,972,237,468,54,946,10,33,102,12,61,7,11,53,3,386,15,12,0.16,0.32,1.07,1.12,1.17,1.02,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
3,OHLC/4,3,52,2,macds,3,290,6,18,0.17,112,189,341,94,829,277,383,857,315,166,928,362,299,453,566,543,427,365,875,627,500,315,70,721,167,166,263,434,633,599,18,36,27,5,614,5,16,28,13,502,8,18,0.14,0.31,1.2,1.11,1.07,1.14,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
4,HLCC/4,4,68,2,macdh,3,238,6,16,0.38,50,151,203,108,255,231,262,113,239,36,584,388,236,600,780,567,473,383,946,913,452,321,295,662,483,602,336,50,797,217,15,29,99,14,145,16,51,36,14,350,21,15,0.2,0.35,1.16,1.05,1.11,1.14,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
5,HLCC/4,3,57,2,macd,3,399,6,10,0.23,69,858,131,391,560,15,149,517,128,273,90,228,200,448,927,690,473,455,946,660,478,413,636,582,649,821,739,755,649,68,9,18,75,15,433,10,14,9,2,496,6,6,0.04,0.36,1.13,1.01,1.05,1.14,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
6,low,4,58,1,macd,3,37,6,9,0.36,125,710,175,213,304,284,15,815,7,102,740,96,83,888,955,641,483,474,863,765,358,291,637,699,503,104,943,153,80,350,7,18,104,8,899,5,29,80,11,419,6,17,0.05,0.11,1.04,1.06,1.12,1.04,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
7,high,3,46,2,macds,4,259,6,20,0.14,200,485,126,153,956,197,184,937,226,31,61,100,231,991,555,517,488,393,965,623,445,281,75,476,865,37,910,291,337,725,15,60,18,3,228,5,40,32,10,623,12,13,0.04,0.15,1.07,1.0,1.08,1.03,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
8,low,3,46,2,macds,3,70,6,7,0.38,91,85,66,270,905,113,72,177,78,198,250,119,153,543,974,629,285,272,760,643,402,316,634,512,544,601,469,756,978,262,24,34,77,1,375,4,13,35,7,522,20,21,0.18,0.01,1.12,1.05,1.04,1.04,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
9,low,4,57,2,macds,3,331,6,6,0.01,226,489,32,335,863,176,113,250,95,9,266,208,305,84,692,531,394,362,987,725,446,258,180,119,303,710,338,984,37,473,16,57,5,4,760,16,23,50,9,725,24,14,0.06,0.34,1.13,1.15,1.08,1.17,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
10,low,3,67,2,macdh,4,74,6,7,0.28,155,404,342,35,43,15,206,549,271,60,844,105,165,837,699,662,485,312,794,753,488,468,493,215,82,60,922,614,311,970,5,17,59,6,410,15,25,56,11,300,21,8,0.29,0.11,1.15,1.14,1.18,1.07,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
11,HLCC/4,3,54,2,macd,4,197,6,19,0.11,207,424,263,290,908,294,257,738,80,64,324,98,213,26,970,539,475,278,973,684,374,332,701,350,448,868,971,532,901,868,27,37,96,12,702,12,27,15,4,885,9,19,0.27,0.33,1.09,1.17,1.15,1.17,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
12,close,4,48,2,macdh,3,69,6,7,0.3,195,301,16,162,786,68,346,220,7,305,662,185,107,255,926,871,421,297,979,850,374,293,301,871,429,628,792,158,785,371,9,52,55,5,386,16,32,81,14,674,14,25,0.14,0.33,1.0,1.16,1.0,1.08,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
13,high,3,48,1,macds,3,240,6,10,0.25,242,781,255,4,762,247,227,186,388,63,326,306,45,893,715,609,426,293,752,570,386,300,711,361,426,378,649,654,742,81,3,45,26,3,820,17,39,101,10,803,15,19,0.06,0.21,1.13,1.08,1.19,1.05,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
14,open,4,60,2,macds,3,215,6,15,0.1,143,153,3,172,578,252,321,802,367,127,612,74,96,67,876,774,316,260,814,674,495,298,476,703,516,747,28,179,49,187,19,37,11,6,36,5,39,94,13,321,3,21,0.25,0.37,1.16,1.08,1.12,1.15,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
15,low,4,58,1,macds,3,33,6,4,0.31,110,522,28,85,786,233,54,376,363,153,953,328,64,777,984,797,382,265,905,760,308,279,543,724,211,996,767,667,116,930,13,45,50,2,392,8,33,69,11,975,16,5,0.01,0.29,1.02,1.16,1.17,1.1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
16,HLC/3,3,53,2,macd,3,123,6,14,0.02,273,709,2,66,11,107,235,485,249,336,880,327,327,462,669,569,424,293,816,623,302,259,792,790,41,459,475,633,382,804,24,31,77,11,843,6,23,55,10,370,4,8,0.4,0.32,1.07,1.03,1.17,1.19,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
17,HL/2,3,52,2,macd,4,346,6,16,0.03,200,789,274,343,249,84,109,195,259,393,31,300,208,45,869,503,430,416,518,506,366,335,837,390,961,16,380,733,597,691,12,38,52,2,378,3,43,42,5,786,8,25,0.36,0.25,1.19,1.08,1.08,1.15,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
18,close,4,63,1,macdh,4,79,6,16,0.16,153,596,73,228,80,400,64,125,179,295,668,72,335,19,979,583,387,291,647,536,450,303,234,174,177,286,61,935,708,183,17,27,26,2,744,13,16,36,16,77,23,21,0.1,0.29,1.16,1.11,1.03,1.08,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
19,HLCC/4,4,57,2,macds,4,93,6,16,0.13,142,274,149,354,115,336,286,248,324,58,737,321,201,464,892,677,415,414,820,551,486,286,531,936,419,658,899,546,502,586,14,30,27,13,595,18,35,86,11,729,21,18,0.23,0.38,1.0,1.16,1.13,1.02,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
