,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
0,HLCC/4,194,474,31,macdh,324,7,5,16,0.14,273,955,250,321,65,127,359,23,199,254,180,60,267,160,529,500,497,368,809,586,458,283,229,395,544,371,647,310,493,488,9,45,90,6,744,12,43,38,18,858,19,1,0.01,0.25,0.27,0.4,0.43,0.58,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,21.896269453579208,True,False,-0.16354244151614755,-0.061570620753889874,-0.06103302823528219
1,HL/2,174,499,42,macdh,234,8,4,19,0.16,270,384,369,224,537,165,240,973,22,14,399,374,347,891,767,635,485,475,733,514,476,454,853,669,429,950,302,45,614,252,12,29,85,16,611,3,35,5,11,98,10,6,0.31,0.24,0.47,0.84,0.64,0.96,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,20.940154142243493,True,False,-0.2019034297339264,-0.08283563571947056,-0.08211613673615663
2,HL/2,151,419,32,macdh,313,8,6,12,0.24,142,517,43,167,253,199,50,702,26,222,213,164,186,443,668,644,351,287,754,526,370,292,892,443,784,793,787,263,659,700,30,59,57,19,493,15,50,65,4,195,17,16,0.05,0.09,0.31,0.36,0.39,0.43,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,29.25071235915968,True,False,-0.1742917182171289,-0.07474334976259747,-0.07472214991170606
3,low,155,436,39,macdh,250,9,6,5,0.03,244,158,295,72,731,237,344,425,336,137,567,32,356,643,893,823,384,358,954,862,370,343,531,45,90,146,443,425,719,766,13,32,6,8,464,15,30,102,20,211,9,15,0.31,0.36,1.15,1.11,1.2,1.06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0,False,True,0.0,0.0,0.0
4,open,201,456,31,macds,221,9,6,19,0.24,215,980,246,70,743,217,105,330,189,232,710,206,259,237,902,558,495,408,897,694,409,262,581,109,318,249,4,162,686,45,18,56,15,8,290,17,21,22,11,76,5,20,0.27,0.39,1.08,1.15,1.08,1.16,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0,False,True,0.0,0.0,0.0
5,HLC/3,207,447,30,macds,108,7,6,15,0.11,298,141,172,45,987,216,16,494,101,295,138,290,315,354,942,585,448,431,954,572,439,438,27,929,335,159,379,625,797,179,4,36,93,19,990,2,37,2,11,402,16,2,0.17,0.16,1.13,1.09,1.19,1.1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0,False,True,0.0,0.0,0.0
6,OHLC/4,172,494,34,macdh,63,6,6,7,0.37,131,848,368,272,125,335,277,908,177,159,653,45,56,232,856,829,479,399,870,676,356,339,691,347,777,464,696,253,177,628,14,55,2,6,980,5,19,102,6,926,25,22,0.17,0.33,1.08,1.02,1.18,1.09,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0,False,True,0.0,0.0,0.0
7,open,151,493,30,macds,149,7,6,12,0.34,162,361,241,12,867,206,400,347,146,184,378,16,379,704,672,500,363,270,705,513,436,276,216,506,954,332,988,32,373,117,26,32,104,11,956,6,24,51,7,910,16,23,0.01,0.05,1.18,1.06,1.03,1.05,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0,False,True,0.0,0.0,0.0
8,close,166,526,40,macd,140,6,6,4,0.17,112,110,81,159,313,198,351,579,155,290,510,286,258,89,990,570,434,408,924,573,381,301,628,964,989,725,531,162,28,313,23,41,79,12,201,5,48,62,7,270,8,25,0.4,0.06,1.13,1.16,1.17,1.06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0,False,True,0.0,0.0,0.0
9,HLCC/4,162,382,40,macd,201,9,6,3,0.39,89,767,5,238,45,119,75,869,74,174,337,397,275,254,798,674,469,366,963,638,459,420,354,188,85,802,587,768,721,82,14,60,95,5,779,3,5,74,6,711,22,7,0.18,0.07,1.09,1.12,1.19,1.11,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0,False,True,0.0,0.0,0.0
