,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
0,HLC/3,7,54,5,macd,4,382,6,10,0.07,83,777,375,232,224,244,146,901,21,73,954,158,334,896,948,720,438,392,751,709,478,403,488,379,49,864,655,755,854,846,17,40,56,10,735,16,20,15,20,561,24,23,0.4,0.03,1.08,1.06,1.18,1.05,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
1,open,10,49,5,macd,4,172,6,5,0.01,291,632,243,142,943,303,309,507,180,360,123,398,321,132,749,525,395,278,738,707,479,378,516,680,960,970,239,291,511,824,10,14,20,12,348,18,33,94,10,746,22,15,0.05,0.34,1.18,1.09,1.19,1.17,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
2,low,7,57,5,macds,4,255,6,7,0.25,26,790,282,156,459,386,237,760,384,16,554,366,63,460,749,693,345,266,902,721,398,282,192,804,224,591,769,284,395,249,9,52,89,5,340,12,23,97,18,780,17,18,0.03,0.07,1.12,1.0,1.18,1.03,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
3,high,8,54,5,macd,3,230,6,14,0.06,28,152,8,297,766,394,335,933,64,141,160,231,324,260,531,503,364,298,933,548,425,354,809,816,275,705,847,949,282,782,3,11,98,8,168,3,4,27,6,973,6,22,0.02,0.39,1.16,1.17,1.08,1.2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
4,open,7,66,4,macdh,4,317,6,7,0.04,147,261,285,368,895,332,11,314,373,239,133,158,135,305,777,513,384,311,708,520,413,282,888,720,482,260,806,240,293,346,10,60,29,20,938,13,51,16,14,828,14,21,0.06,0.15,1.02,1.13,1.1,1.09,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
5,HL/2,7,58,6,macdh,4,7,6,18,0.14,204,475,10,74,444,167,132,800,4,266,668,45,132,952,933,838,440,411,745,688,362,268,177,273,135,396,460,404,728,800,20,42,31,5,20,3,21,102,12,612,21,25,0.13,0.18,1.07,1.1,1.16,1.03,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
6,OHLC/4,9,45,4,macd,3,337,6,20,0.27,199,510,357,204,934,364,39,982,84,51,278,227,30,688,799,598,392,389,842,791,397,322,345,941,518,431,24,379,171,360,17,56,38,14,766,4,29,65,16,260,19,4,0.36,0.11,1.04,1.2,1.05,1.2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
7,low,10,64,5,macds,4,261,6,1,0.24,45,852,253,283,421,279,278,89,228,119,433,314,89,469,610,600,495,270,550,528,311,250,362,222,737,543,740,738,834,580,5,33,85,4,944,12,39,82,6,958,7,3,0.13,0.29,1.05,1.09,1.11,1.06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
8,low,8,48,4,macd,4,256,6,2,0.38,184,263,313,289,400,314,193,822,335,115,247,110,278,766,966,558,493,463,876,582,352,348,967,682,95,936,450,950,520,120,24,60,32,11,10,13,50,43,13,319,8,24,0.01,0.01,1.19,1.19,1.08,1.18,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
9,OHLC/4,9,48,4,macds,3,121,6,8,0.27,290,826,85,179,215,248,203,708,387,126,636,215,2,994,815,500,438,361,631,573,317,254,242,901,836,539,828,243,681,288,28,33,102,1,689,5,29,39,2,958,19,17,0.01,0.32,1.19,1.07,1.1,1.18,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
10,high,10,47,5,macds,3,385,6,19,0.11,239,363,93,180,237,372,110,954,260,376,616,208,378,171,869,670,270,255,806,514,421,271,133,737,890,283,615,335,700,12,17,38,2,8,547,6,52,40,17,277,5,23,0.2,0.39,1.07,1.02,1.12,1.05,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
11,high,8,44,4,macdh,4,84,6,14,0.11,26,367,301,273,129,399,294,914,2,270,305,6,146,529,893,654,462,345,896,794,500,388,343,381,956,17,66,488,150,890,18,36,53,4,110,10,50,104,12,869,17,15,0.22,0.19,1.2,1.18,1.01,1.02,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
12,HL/2,10,49,4,macdh,3,216,6,1,0.31,217,140,4,69,736,25,339,841,379,51,648,150,18,557,638,535,479,335,872,613,434,306,585,642,656,476,338,473,421,49,8,37,18,13,822,7,19,77,7,411,12,10,0.39,0.37,1.05,1.19,1.13,1.18,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
13,HLC/3,9,61,4,macd,3,215,6,10,0.06,180,305,218,260,750,376,45,577,375,110,432,352,23,211,620,506,441,299,930,653,496,437,634,35,89,728,895,276,582,538,5,37,84,8,810,3,46,73,7,991,13,8,0.24,0.06,1.13,1.11,1.17,1.03,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
14,high,7,66,5,macdh,4,209,6,10,0.07,76,414,364,133,718,71,185,320,152,319,135,332,93,842,975,554,373,352,844,510,393,346,702,845,113,951,872,82,453,637,17,39,82,12,591,17,35,95,5,490,6,18,0.16,0.23,1.09,1.15,1.14,1.16,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
15,close,10,51,5,macd,4,121,6,11,0.05,98,41,366,373,447,48,60,395,186,312,92,155,104,969,736,551,472,343,763,530,305,285,186,606,74,465,95,439,3,678,16,55,89,2,314,11,38,3,11,129,21,18,0.19,0.16,1.14,1.08,1.04,1.19,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
16,HL/2,9,61,6,macds,3,230,6,6,0.11,143,620,245,14,540,233,12,934,328,236,253,141,330,176,548,524,331,291,977,742,424,343,690,345,416,516,259,154,607,331,3,55,29,3,867,4,31,78,8,597,18,10,0.3,0.12,1.03,1.17,1.19,1.2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
17,OHLC/4,7,58,5,macd,4,220,6,15,0.34,30,378,35,139,171,327,306,943,129,48,534,89,320,311,997,586,490,417,863,737,404,324,148,964,93,473,653,952,828,376,3,56,39,10,909,5,35,7,19,520,2,23,0.29,0.38,1.0,1.2,1.04,1.15,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
18,close,7,64,4,macds,4,42,6,10,0.06,113,840,315,109,781,214,291,6,106,305,74,304,321,806,960,737,378,274,993,855,500,356,230,531,108,264,27,73,544,961,11,13,38,3,847,12,43,74,5,964,16,8,0.2,0.24,1.18,1.04,1.12,1.16,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
19,open,8,48,4,macd,3,261,6,7,0.08,42,124,330,69,990,146,166,430,152,158,801,156,52,661,734,662,318,266,946,856,318,252,650,697,57,8,691,725,757,709,22,26,84,17,942,15,39,7,18,394,20,22,0.26,0.09,1.17,1.2,1.04,1.15,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
