,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
0,close,286,789,13,macdh,323,3,3,19,0.02,251,85,142,258,329,181,113,716,240,349,678,395,27,5,826,751,324,291,844,506,470,282,14,696,473,406,583,102,66,994,21,28,73,1,619,8,31,48,5,987,15,25,0.11,0.1,0.1,0.14,0.2087643527685219,0.35,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,23.556732439437102,True,False,-0.28632648965192764,-0.1069716989266599,-0.10895727348990414
1,open,270,648,11,macdh,372,4,3,3,0.27,290,293,346,30,653,54,98,170,242,391,810,287,311,416,876,518,463,449,994,644,426,309,45,753,78,625,779,634,497,554,27,50,19,10,606,4,33,77,5,869,14,14,0.05,0.35,0.35,0.47,0.43,0.58,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,24.574145085988675,True,False,-0.2446378930023141,-0.09796551776801593,-0.10030248118614489
2,HLC/3,248,707,8,macdh,275,4,6,6,0.19,47,575,206,255,824,7,158,236,31,45,791,212,302,573,886,877,365,341,797,685,490,400,733,705,105,754,510,571,1000,617,5,19,5,14,73,6,46,70,18,437,9,17,0.32,0.27,0.057140551379573065,0.49,0.1407187968395949,0.57,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,31.76748796198494,True,False,-0.47009262808972824,-0.20286567197027028,-0.20499785849519966
3,close,247,617,12,macdh,199,4,5,5,0.01,289,532,315,23,373,120,377,361,85,140,645,183,139,491,754,505,494,442,880,791,394,298,200,626,12,721,60,632,974,223,3,29,93,12,6,5,21,22,16,936,9,12,0.31,0.14,0.54,0.79,0.63,0.88,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,28.817930881172785,True,False,-0.41098181781488907,-0.17148817854124945,-0.17358216173456645
4,low,246,595,11,macdh,291,3,5,17,0.17,119,250,200,56,753,189,336,41,297,360,367,362,385,120,974,581,498,335,649,608,337,315,914,814,43,900,963,684,3,511,22,57,26,13,9,6,18,31,18,653,11,6,0.07,0.38,0.23,0.31,0.3,0.39,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,36.9615666611372,True,False,-0.33920481046811657,-0.10724129913109094,-0.10831401734938563
5,high,266,787,10,macdh,15,4,3,5,0.08,140,885,51,258,464,365,124,36,319,23,809,92,277,136,704,638,350,341,980,930,426,281,726,335,578,197,388,507,563,33,23,28,56,12,402,14,30,46,9,407,20,10,0.11,0.38,0.3,0.45,0.44,0.6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,20.108624692911537,True,False,-0.32561814677490036,-0.15361296607003375,-0.15629282448840706
6,open,262,715,9,macdh,241,3,6,11,0.27,70,314,350,111,627,147,353,110,222,335,214,293,314,661,830,602,450,299,971,720,478,448,567,845,273,756,737,158,620,650,6,25,35,20,396,5,42,83,2,806,22,15,0.38,0.21,0.1,0.12,0.1964089675172098,0.39,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,29.000639028268747,True,False,-0.42748364623489726,-0.14962994824224846,-0.15203364179013606
7,OHLC/4,246,565,8,macdh,67,4,3,2,0.14,274,479,196,165,155,318,370,980,71,11,513,24,58,884,781,588,376,367,869,649,463,293,379,969,161,925,553,282,135,156,27,59,14,5,868,3,15,22,15,407,13,22,0.32,0.38,0.23,0.43,0.35,0.57,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,21.54413222087913,True,False,-0.3973604429427302,-0.19657883514246122,-0.19873373516249587
8,HL/2,252,678,13,macdh,208,3,6,20,0.15,28,543,359,312,472,333,123,401,94,203,849,331,199,13,745,508,485,363,919,866,317,303,556,648,44,332,881,507,629,484,25,31,17,1,137,14,30,23,6,2,25,17,0.35,0.13,1.2,1.09,1.16,1.14,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0,False,True,0.0,0.0,0.0
9,HLCC/4,223,614,9,macds,262,4,6,9,0.12,233,322,81,302,304,385,129,456,237,175,806,350,342,231,942,633,454,390,954,585,468,357,528,65,958,211,424,912,769,412,20,44,23,12,176,18,45,47,8,447,15,14,0.02,0.38,1.01,1.13,1.05,1.15,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0,False,True,0.0,0.0,0.0
