,RSI_apply_to,RSI_length,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
0,high,4,385,20,6,17,0.35,60,558,56,261,716,259,32,394,17,257,149,109,187,372,917,734,392,330,587,557,368,342,387,715,744,271,417,150,594,770,4,47,38,19,627,5,21,91,2,697,13,1,0.23,0.1,1.15,1.11,1.06,1.05,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
1,HL/2,5,284,19,6,4,0.19,265,839,161,102,981,69,47,860,119,350,307,124,323,183,821,751,401,284,951,516,386,340,488,556,82,409,608,379,90,138,10,13,28,4,857,3,13,96,15,47,25,25,0.27,0.14,1.11,1.09,1.01,1.13,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
2,HLCC/4,5,385,21,6,19,0.08,112,719,399,136,373,389,87,968,159,37,478,227,86,205,685,520,410,322,864,529,498,413,666,646,996,702,602,133,930,480,14,32,27,20,203,5,23,65,19,832,9,19,0.16,0.02,1.07,1.08,1.15,1.07,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
3,low,4,46,21,6,1,0.18,295,610,235,260,197,73,104,807,258,298,60,83,112,217,819,780,352,289,639,564,488,387,444,180,844,632,565,916,935,29,19,50,13,17,334,3,12,66,5,215,9,12,0.22,0.01,1.01,1.14,1.17,1.03,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
4,open,4,221,20,6,8,0.19,134,413,300,254,937,241,256,448,14,176,855,298,396,249,647,594,414,365,871,763,464,262,490,767,738,694,848,183,69,236,30,42,3,19,254,6,20,89,10,821,9,14,0.01,0.32,1.06,1.19,1.17,1.18,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
5,high,5,282,21,6,14,0.36,151,696,386,380,437,69,135,822,73,303,191,72,391,11,842,541,359,348,588,582,398,361,249,129,44,390,105,894,661,877,5,12,35,17,655,18,25,21,12,492,9,19,0.38,0.35,1.05,1.09,1.05,1.08,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
6,HLC/3,6,149,22,6,15,0.1,212,834,276,327,14,377,361,686,164,55,478,40,339,515,959,539,407,288,995,642,437,292,528,793,990,785,131,228,643,247,23,39,86,9,849,4,9,98,13,11,20,22,0.16,0.03,1.07,1.02,1.07,1.12,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
7,HL/2,6,350,21,6,10,0.16,32,84,51,74,300,35,178,128,382,320,440,331,229,638,775,718,487,324,976,850,347,277,580,704,704,940,76,921,792,201,22,42,104,5,17,9,23,24,3,996,18,6,0.33,0.37,1.0,1.1,1.06,1.06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
8,OHLC/4,6,20,18,6,15,0.17,235,191,128,43,328,66,208,141,27,382,60,162,77,700,933,889,438,273,807,653,413,306,881,867,255,334,948,594,55,585,21,33,24,15,894,16,32,27,11,418,8,21,0.17,0.29,1.19,1.19,1.09,1.11,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
9,open,5,124,26,6,13,0.39,70,606,261,247,859,303,205,982,3,9,436,187,79,264,895,654,491,311,625,568,446,284,248,651,612,565,217,212,382,981,12,45,57,17,60,8,44,75,9,683,19,13,0.27,0.05,1.04,1.01,1.13,1.18,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,False,True,0,0,0
