,RSI_apply_to,RSI_length,corr_low,corr_high,Divergence_diff_extereme,Divergence_num_exteremes_min,Divergence_num_exteremes_max,frequency,score
10,close,150.0,0.6112295004375554,0.5959550031610273,5.0,2.0,409.0,4H,0.3794632121503098
11,HLCC/4,100.0,0.6030624421780258,0.5908586494317578,2.0,3.0,495.0,4H,0.3496839574626849
12,HLC/3,273.0,0.7397481939763694,0.7418819021559381,5.0,3.0,337.0,4H,0.327491139825551
13,HL/2,235.0,0.6043729003683125,0.6084068272569384,4.0,3.0,436.0,4H,0.3112463768692992
14,OHLC/4,265.0,0.6585088373182358,0.6521241509850287,1.0,4.0,307.0,4H,0.2953573032937949
15,HL/2,129.0,0.5642350528455223,0.5561176286395054,4.0,4.0,135.0,4H,0.295220736393296
16,high,230.0,0.635670891081879,0.6287527894710684,1.0,4.0,40.0,4H,0.2946438683975027
17,OHLC/4,194.0,0.5636666022776505,0.572562268528014,4.0,4.0,492.0,4H,0.2879777379128742
18,HLCC/4,230.0,0.6761848789209731,0.6717025985335376,5.0,4.0,442.0,4H,0.2869119313343024
19,HL/2,68.0,0.3753444027571971,0.3741879801819825,5.0,3.0,255.0,4H,0.2749542882176144
20,low,291.0,0.8005950118701348,0.7747361567284118,5.0,5.0,251.0,4H,0.2707523455773759
21,high,167.0,0.6425507162092323,0.6335654130410032,5.0,7.0,173.0,4H,0.2693477611652236
22,HLC/3,232.0,0.4221943343557348,0.4187214770842963,6.0,2.0,367.0,4H,0.2622281252268227
23,HLC/3,64.0,0.4114528273045879,0.4100591819057778,2.0,5.0,151.0,4H,0.2581797967291813
24,HLC/3,284.0,0.8778096409442564,0.8656702174796708,1.0,8.0,146.0,4H,0.2556967263405559
25,HL/2,183.0,0.6510161146935769,0.653126584762712,3.0,8.0,282.0,4H,0.2482926519310027
26,close,226.0,0.6133061623551966,0.5807537155952508,1.0,5.0,465.0,4H,0.246399339099139
27,high,269.0,0.705773730402611,0.6870414152315157,5.0,8.0,42.0,4H,0.2385624828383891
28,HLC/3,91.0,0.3952208764872744,0.393312900128483,2.0,5.0,362.0,4H,0.2354791455684605
29,HLC/3,232.0,0.7187843599969078,0.7082532623163396,5.0,9.0,25.0,4H,0.2303206166813348
30,close,154.0,0.5662517993982726,0.5609342180559935,6.0,8.0,58.0,4H,0.2293867747416167
31,OHLC/4,120.0,0.4558663669087933,0.4558670334580579,1.0,7.0,293.0,4H,0.2292809173928972
32,close,16.0,0.2119370843330772,0.1942411358094563,3.0,2.0,246.0,4H,0.2248117892391925
33,open,241.0,0.5984831662331327,0.5855349174831067,1.0,9.0,159.0,4H,0.2238299711741329
34,low,251.0,0.8710836909425567,0.8424117857678101,4.0,13.0,120.0,4H,0.2065008550692382
35,HLC/3,100.0,0.3570074113191471,0.3595958607882143,5.0,6.0,325.0,4H,0.199661594545246
36,HL/2,77.0,0.3137457555372764,0.3121955010659691,3.0,6.0,289.0,4H,0.1986238956377603
37,open,38.0,0.3661897895703901,0.3477162571765625,1.0,16.0,11.0,4H,0.19695219521451
38,OHLC/4,232.0,0.6880137162968278,0.6808040102428304,2.0,14.0,58.0,4H,0.1956949993400959
39,HLCC/4,266.0,0.7294410054473383,0.7087386623506631,4.0,14.0,332.0,4H,0.1934348753324495
40,open,35.0,0.3385150729638364,0.3195391958390143,5.0,15.0,222.0,4H,0.1885810051319226
41,HLC/3,233.0,0.6865256117677282,0.6651249468800022,5.0,13.0,478.0,4H,0.1855934616665349
42,low,218.0,0.4680736418021153,0.4315006166186088,1.0,7.0,405.0,4H,0.1781631486304367
43,high,153.0,0.7417127175541555,0.7229860475971016,2.0,38.0,458.0,4H,0.1750337835312611
44,high,270.0,0.8008169601684887,0.7835572703954433,1.0,51.0,97.0,4H,0.1712240103196112
45,high,235.0,0.7899811208128623,0.7725353674983692,4.0,45.0,139.0,4H,0.1696452445708949
