,RSI_apply_to,RSI_length,corr_low,corr_high,Divergence_diff_extereme,Divergence_num_exteremes_min,Divergence_num_exteremes_max,frequency,score
10,HL/2,177.0,0.5272077468669467,0.5225276682780181,3.0,250.0,2.0,4H,0.293737662190609
11,open,222.0,0.6702214909975954,0.6709431405659644,4.0,49.0,4.0,4H,0.293110042163633
12,HLCC/4,276.0,0.6879421027840277,0.688994616260225,5.0,485.0,4.0,4H,0.2752581150134499
13,low,204.0,0.732824727195249,0.7346087878765917,2.0,268.0,7.0,4H,0.2686083928552206
14,HLCC/4,190.0,0.6698826669476522,0.6759356546979891,4.0,236.0,4.0,4H,0.2669220564861213
15,low,198.0,0.7055254504415357,0.7082406372726108,4.0,438.0,7.0,4H,0.2570736011169091
16,low,275.0,0.6830976457526831,0.6890509569344461,2.0,202.0,7.0,4H,0.2568495898215905
17,close,232.0,0.5740271302843838,0.5820857465461925,4.0,158.0,5.0,4H,0.2449762713070806
18,low,284.0,0.6089700701809945,0.6112966025303035,4.0,188.0,6.0,4H,0.2418487473668712
19,HLCC/4,160.0,0.5399900491133641,0.5448985799087457,4.0,20.0,4.0,4H,0.2417209115829463
20,HLC/3,192.0,0.5521010986985939,0.5539309173649852,3.0,429.0,4.0,4H,0.2414037522620092
21,high,175.0,0.5025540170688396,0.51267971553778,6.0,185.0,5.0,4H,0.2344226814176786
22,OHLC/4,128.0,0.7110817694971254,0.7073077774902813,3.0,301.0,22.0,4H,0.2293927775148603
23,close,220.0,0.5253517808231575,0.5352975173889374,3.0,473.0,4.0,4H,0.22773594115095
24,HL/2,87.0,0.5646859961944947,0.5698600340677805,1.0,85.0,8.0,4H,0.2262694421080149
25,close,262.0,0.8352969203139082,0.8378280797969533,6.0,99.0,18.0,4H,0.2237202305267092
26,close,214.0,0.5649482676042707,0.5804721137947648,5.0,454.0,7.0,4H,0.223403335508659
27,HLCC/4,116.0,0.7110427880913275,0.7109708177777533,1.0,431.0,21.0,4H,0.2232150110792607
28,HL/2,121.0,0.7067983894192051,0.7100173996986122,4.0,175.0,24.0,4H,0.2226703582771481
29,HL/2,130.0,0.675288819936004,0.679697859299753,5.0,115.0,25.0,4H,0.2225045524813218
30,high,120.0,0.4033171565496352,0.4133762656106304,5.0,384.0,4.0,4H,0.2201527270218661
31,open,213.0,0.5873312541713038,0.5878304757936236,4.0,364.0,9.0,4H,0.2130252484375926
32,HLC/3,87.0,0.567113548818564,0.561434654418507,3.0,34.0,9.0,4H,0.2121762801851246
33,HL/2,20.0,0.2242242015445238,0.2193354906399949,5.0,68.0,3.0,4H,0.2098858120612805
34,HL/2,127.0,0.4680669147927117,0.467828552382867,6.0,231.0,6.0,4H,0.2061349124621218
