,RSI_apply_to,RSI_length,corr_low,corr_high,Divergence_diff_extereme,Divergence_num_exteremes_min,Divergence_num_exteremes_max,frequency,score
10,HLCC/4,183.0,0.7153015000325363,0.7056387288395439,1.0,3.0,399.0,4H,0.3720122481332553
11,OHLC/4,263.0,0.7811513619198622,0.7808645226181493,2.0,2.0,492.0,4H,0.3714183793891418
12,open,197.0,0.6744368287251515,0.6758925948856453,6.0,3.0,377.0,4H,0.3423212657966894
13,HLCC/4,146.0,0.6114309867638557,0.6102423903178158,6.0,4.0,256.0,4H,0.322624572571459
14,open,52.0,0.3583688327812973,0.3472981223624626,4.0,2.0,236.0,4H,0.2986405753570733
15,HLCC/4,286.0,0.7055138228554504,0.7066919280558294,2.0,5.0,237.0,4H,0.2841173987797039
16,HLCC/4,120.0,0.5959939403888106,0.5990931407428132,3.0,5.0,486.0,4H,0.2837736427141728
17,OHLC/4,278.0,0.7391478628210907,0.7387095322334198,1.0,9.0,110.0,4H,0.2698790523304401
18,HL/2,258.0,0.7982055729153011,0.8048627306576103,3.0,11.0,249.0,4H,0.2620182459040887
19,HL/2,241.0,0.6926074445333489,0.703953152760737,4.0,10.0,385.0,4H,0.2598829600999633
20,open,193.0,0.7357747745348587,0.7282872857127248,3.0,15.0,286.0,4H,0.2578690381061774
21,open,205.0,0.7239594419540761,0.7218395486515772,5.0,12.0,187.0,4H,0.250279563019757
22,low,258.0,0.8351347289479418,0.8273907175501937,4.0,13.0,303.0,4H,0.247721265370521
23,high,166.0,0.7442505602916306,0.7215696680838227,1.0,18.0,284.0,4H,0.2468227330065821
24,open,292.0,0.6982199245565861,0.7122456537440571,3.0,10.0,161.0,4H,0.2461771654278021
25,OHLC/4,213.0,0.7863747278722791,0.7748092469808513,6.0,19.0,378.0,4H,0.2445373462798753
26,close,101.0,0.4535211602756518,0.4578885119692396,5.0,7.0,390.0,4H,0.2417067275128211
27,HLC/3,290.0,0.6066655337697746,0.6036541910644388,2.0,8.0,147.0,4H,0.2405324711110656
28,HLCC/4,168.0,0.5651302158288809,0.5646992362583951,3.0,10.0,55.0,4H,0.2375408683318738
29,low,185.0,0.5436768045584655,0.5129674144904965,2.0,7.0,83.0,4H,0.2374418532777224
30,OHLC/4,168.0,0.7251053423067237,0.7016422158789372,6.0,21.0,263.0,4H,0.2364994062573634
31,close,158.0,0.7416556187163355,0.7208066846686291,4.0,21.0,13.0,4H,0.2341050485594106
32,HLC/3,172.0,0.5127462146228403,0.5131036896015708,1.0,8.0,257.0,4H,0.2328714671029533
33,HLC/3,194.0,0.6934469096857261,0.6938304512514256,2.0,13.0,423.0,4H,0.2321382149247998
34,high,126.0,0.6531336336852787,0.6371677169298954,2.0,20.0,29.0,4H,0.2319845287119122
35,low,162.0,0.4910627805576616,0.4869711054817597,5.0,8.0,484.0,4H,0.23167607405471
36,close,167.0,0.5489011528427604,0.532305081133443,5.0,10.0,443.0,4H,0.2306577307377116
37,HLCC/4,84.0,0.4213936726355911,0.4255252457924545,2.0,7.0,346.0,4H,0.2301657780027285
38,high,207.0,0.7458447771245793,0.7383781772483227,3.0,22.0,334.0,4H,0.2296765532609738
39,high,150.0,0.6914661716486259,0.6687199391366517,6.0,21.0,205.0,4H,0.2290847535724131
40,HL/2,236.0,0.7670386656987519,0.7626030186127518,5.0,19.0,165.0,4H,0.2270118828939709
41,close,246.0,0.7363765421188451,0.7143150394892758,6.0,22.0,259.0,4H,0.2261886490529411
42,HLC/3,116.0,0.5998418491723794,0.5872133688289439,3.0,18.0,285.0,4H,0.2242130526137636
43,HL/2,125.0,0.5924162034316168,0.5905995255173467,2.0,15.0,264.0,4H,0.2237123707604057
44,OHLC/4,108.0,0.6626392495030017,0.6335071608584391,4.0,34.0,394.0,4H,0.2218199880613519
45,HLC/3,254.0,0.7408133821640014,0.7267859270950676,6.0,25.0,96.0,4H,0.2208251028168718
46,HL/2,130.0,0.5980383992943535,0.5867984910198026,1.0,17.0,235.0,4H,0.2191693255390991
47,HLC/3,142.0,0.620468081652132,0.6033798612145149,6.0,11.0,477.0,4H,0.2188548099029147
48,HL/2,223.0,0.4968055070425614,0.4944451752981619,3.0,7.0,400.0,4H,0.2176964156064896
49,open,119.0,0.5482762872442394,0.5343190927871603,2.0,16.0,98.0,4H,0.2151590861910596
50,high,194.0,0.6796358166400004,0.6644326564304407,2.0,32.0,398.0,4H,0.2149726958888194
51,high,252.0,0.6427444307088662,0.6338273385242746,3.0,30.0,167.0,4H,0.2138324000342775
52,high,241.0,0.704666001623299,0.691690162523343,1.0,40.0,205.0,4H,0.2136198656967074
53,open,204.0,0.7080025627935633,0.6871753092280951,6.0,25.0,411.0,4H,0.2134899607185241
54,OHLC/4,117.0,0.4181019028624452,0.4150346539469222,6.0,8.0,464.0,4H,0.2133952969953129
55,HLC/3,122.0,0.6794814731817269,0.6492200063786084,3.0,34.0,432.0,4H,0.2133032135248658
56,high,251.0,0.7380253609327581,0.7258599647981197,6.0,36.0,124.0,4H,0.2128460254009503
57,HLCC/4,145.0,0.6238420571685496,0.587372283198305,6.0,33.0,238.0,4H,0.2119924931358252
58,HLC/3,121.0,0.6719937156111047,0.6414411082514508,4.0,44.0,42.0,4H,0.2116645985553558
59,OHLC/4,107.0,0.671144187030805,0.6381746179009548,2.0,35.0,468.0,4H,0.2112156108770177
60,high,287.0,0.7723494693358501,0.760493660745235,1.0,41.0,215.0,4H,0.2110294876165275
61,open,292.0,0.78054729828395,0.7430848406716902,5.0,39.0,175.0,4H,0.2101450685954229
62,close,299.0,0.693614372827777,0.6639874928766123,4.0,23.0,345.0,4H,0.2096215813037394
63,HLCC/4,115.0,0.6613894258903067,0.6328482026409649,2.0,39.0,476.0,4H,0.209600907996411
64,open,205.0,0.5730570373354008,0.5712753537794694,3.0,11.0,258.0,4H,0.2092829217738947
65,high,142.0,0.5479185437410183,0.5227032725023264,2.0,11.0,231.0,4H,0.2092700439186882
66,close,222.0,0.6303405309447188,0.602930317288568,5.0,24.0,196.0,4H,0.2089382080533319
67,HLC/3,268.0,0.424471973945194,0.4262397374782827,6.0,6.0,389.0,4H,0.2083647840733891
68,low,160.0,0.4296791777177017,0.430084457483041,5.0,9.0,261.0,4H,0.2070044895441039
69,low,272.0,0.8004556506498657,0.7886561193636891,6.0,42.0,96.0,4H,0.206752607749882
70,low,219.0,0.5974772830276259,0.5685897440846758,4.0,23.0,398.0,4H,0.2067114765039398
71,close,247.0,0.464835422927516,0.4519306418835549,3.0,9.0,419.0,4H,0.2066363705084063
72,OHLC/4,236.0,0.5852725334237874,0.5762313059969839,6.0,29.0,211.0,4H,0.2062098692513871
73,high,225.0,0.6280328453986609,0.6198179628936612,2.0,33.0,276.0,4H,0.2045925108351084
74,low,153.0,0.6044591812442284,0.5811819546343695,3.0,22.0,468.0,4H,0.2035307879040137
75,high,283.0,0.6843811072003984,0.6797629153023951,2.0,38.0,352.0,4H,0.2030685471386915
76,HLCC/4,283.0,0.6899681956535682,0.669067550350926,5.0,37.0,262.0,4H,0.2025460826788983
