,RSI_apply_to,RSI_length,corr_low,corr_high,Divergence_diff_extereme,Divergence_num_exteremes_min,Divergence_num_exteremes_max,frequency,score
10,close,204.0,0.6925647607261147,0.6992885265111741,3.0,158.0,2.0,4H,0.3807797823536714
11,HLCC/4,253.0,0.6895047822706617,0.7053893902120316,2.0,52.0,3.0,4H,0.3388587706660789
12,low,212.0,0.5878915700808868,0.5851645911488892,6.0,418.0,3.0,4H,0.3273847767770925
13,HL/2,157.0,0.5284181853969551,0.5382646241585056,6.0,243.0,3.0,4H,0.3225659590134848
14,HLCC/4,81.0,0.4136944663373968,0.4248909797241305,1.0,123.0,2.0,4H,0.3174506375777562
15,HL/2,277.0,0.6038888423216897,0.602581915843863,4.0,283.0,3.0,4H,0.3126684987909129
16,high,100.0,0.5271783531593788,0.5289958138268168,6.0,190.0,5.0,4H,0.3032517167335054
17,HLC/3,168.0,0.5838029088842576,0.5813714009259413,5.0,349.0,4.0,4H,0.3005637739410112
18,open,78.0,0.3574009796051208,0.3499849575650389,1.0,70.0,2.0,4H,0.2792017408515438
19,close,225.0,0.8131166151575352,0.817510280331277,4.0,305.0,8.0,4H,0.2770758529467206
20,HLCC/4,298.0,0.7283839784709124,0.7238609884755002,6.0,351.0,5.0,4H,0.2762857690293928
21,HLC/3,276.0,0.722886428719276,0.7216832054647984,5.0,142.0,5.0,4H,0.2753122615038182
22,close,176.0,0.4930320877438131,0.5063413654455123,5.0,355.0,4.0,4H,0.2713123273740163
23,open,208.0,0.4976201767723329,0.502708288645998,4.0,403.0,4.0,4H,0.2668962917751435
24,HLCC/4,289.0,0.7249768441815208,0.7262380512849475,4.0,220.0,6.0,4H,0.2666256202395529
25,high,172.0,0.6421136056604861,0.640454204128121,4.0,266.0,8.0,4H,0.2625331864993995
26,high,253.0,0.7323354481792669,0.7247334681704353,4.0,466.0,6.0,4H,0.2622944474021962
27,HLC/3,160.0,0.4678250362420112,0.4668295243754386,2.0,431.0,4.0,4H,0.2616285950712858
28,close,297.0,0.7015102873152365,0.7039360058466118,2.0,170.0,6.0,4H,0.2609896238818583
29,HL/2,160.0,0.6612675490714096,0.6609891365545819,1.0,489.0,7.0,4H,0.2551438138873249
30,low,108.0,0.477288012009721,0.4800327534160156,5.0,182.0,7.0,4H,0.2545626194819246
31,HL/2,268.0,0.6827756614098515,0.677075539404434,5.0,498.0,6.0,4H,0.2504944017521943
32,HLCC/4,107.0,0.4756958416585704,0.4795348689390534,4.0,353.0,8.0,4H,0.2493940874918692
33,low,86.0,0.3225517803134345,0.318647422808191,2.0,40.0,3.0,4H,0.246653663191666
34,HLC/3,279.0,0.6564431567967262,0.6593593649489092,2.0,55.0,6.0,4H,0.2450564138405987
35,high,295.0,0.6764920877077446,0.6763201700401437,5.0,420.0,6.0,4H,0.2446367394691461
36,close,62.0,0.2462147770042937,0.2539266789570574,1.0,259.0,2.0,4H,0.2403210468557089
37,low,144.0,0.4603571300247904,0.4637198861725121,3.0,161.0,6.0,4H,0.2339738285923993
38,HLC/3,127.0,0.4871008253774617,0.4947971296054305,2.0,71.0,8.0,4H,0.2292654861070169
39,HLCC/4,136.0,0.476396175338477,0.4569419627534017,6.0,151.0,10.0,4H,0.2245316412310496
40,HL/2,79.0,0.3825016762370329,0.3831119686800733,4.0,451.0,6.0,4H,0.2233182512188053
41,low,103.0,0.392247370541347,0.3949593000841703,4.0,92.0,8.0,4H,0.2192167657767393
42,OHLC/4,237.0,0.6604803676572889,0.6319624141647779,4.0,493.0,18.0,4H,0.2028587380047752
43,HLCC/4,198.0,0.4796442130809554,0.4729432136887891,3.0,112.0,9.0,4H,0.2013771712326363
44,close,272.0,0.498583929990246,0.4629835987274982,1.0,450.0,12.0,4H,0.1817296305185629
45,high,265.0,0.4722525783848834,0.4821932804519307,2.0,376.0,12.0,4H,0.1809073783037078
46,high,241.0,0.5109142584615172,0.4968974568090187,4.0,66.0,19.0,4H,0.1774240516700939
47,close,256.0,0.4987947187390119,0.4662059012849032,2.0,243.0,13.0,4H,0.1773795783747543
48,open,138.0,0.9478041884245876,0.9448416273100244,5.0,455.0,69.0,4H,0.1751497940367878
49,HLCC/4,232.0,0.5348404276779575,0.5013767293275189,5.0,331.0,15.0,4H,0.1750408708547895
50,HL/2,141.0,0.9407381505929768,0.9485360936328868,3.0,498.0,72.0,4H,0.1749408730098017
51,HLCC/4,128.0,0.6856062753786414,0.6475222557732888,5.0,73.0,52.0,4H,0.1746506649068657
52,close,114.0,0.7442615904410197,0.7139867477194219,6.0,491.0,64.0,4H,0.1745039462288191
