,StochAstic_k,StochAstic_d,StochAstic_smooth_k,StochAstic_mamod,StochAstic_column_div,corr_low,corr_high,Divergence_diff_extereme,Divergence_num_exteremes_min,Divergence_num_exteremes_max,frequency,score
10,431.0,204.0,3.0,wma,StochAstic_k,0.5657196909695638,0.5578697961119675,5.0,113.0,2.0,4H,0.3138966927534922
11,486.0,41.0,4.0,wma,StochAstic_k,0.4368040775324534,0.4375454360589821,4.0,431.0,2.0,4H,0.2229697491151322
12,777.0,498.0,6.0,sma,StochAstic_k,0.940823955020598,0.937789601911582,5.0,401.0,9.0,4H,0.2195828117714172
13,837.0,98.0,14.0,sma,StochAstic_k,0.8144345356978803,0.8132235728973601,1.0,457.0,10.0,4H,0.1995641203693046
14,808.0,509.0,6.0,ema,StochAstic_k,0.7836789983958448,0.7909966942105109,1.0,241.0,7.0,4H,0.195208192848761
15,815.0,443.0,34.0,wma,StochAstic_k,0.6175799729716926,0.6178258188267648,1.0,332.0,4.0,4H,0.1900832815407964
16,695.0,52.0,10.0,ema,StochAstic_d,0.8331639554282362,0.814443646234104,2.0,358.0,4.0,4H,0.1893202942918525
17,665.0,26.0,13.0,ema,StochAstic_k,0.7908168076904889,0.7906390852252497,2.0,188.0,20.0,4H,0.1842261983999163
18,273.0,76.0,18.0,wma,StochAstic_d,0.633484988421751,0.6235572833458846,4.0,71.0,4.0,4H,0.1768398915803755
19,429.0,349.0,42.0,wma,StochAstic_k,0.9385692234425724,0.9675483726554394,2.0,419.0,44.0,4H,0.175966534922976
20,448.0,422.0,47.0,wma,StochAstic_k,0.4585681565902572,0.4450195932214273,4.0,247.0,2.0,4H,0.1698236180776535
21,720.0,197.0,34.0,ema,StochAstic_k,0.8954620057958147,0.8955258888856117,5.0,435.0,10.0,4H,0.1688206312361098
22,735.0,575.0,27.0,ema,StochAstic_k,0.6156423296763627,0.5985107416396722,1.0,490.0,5.0,4H,0.1641322372851467
23,433.0,155.0,32.0,ema,StochAstic_k,0.987912248265776,0.9853266483478964,5.0,392.0,57.0,4H,0.1573208182535127
24,835.0,25.0,41.0,ema,StochAstic_k,0.4815799461652321,0.502446213136281,3.0,105.0,3.0,4H,0.1570215709251344
25,776.0,91.0,25.0,wma,StochAstic_k,0.8926898365932628,0.8816856626532197,4.0,12.0,46.0,4H,0.1465631487473412
26,384.0,43.0,22.0,ema,StochAstic_d,0.59198277215113,0.648388084162441,6.0,417.0,33.0,4H,0.1453487696866501
27,568.0,118.0,10.0,sma,StochAstic_k,0.5021826144183811,0.4993322532794346,6.0,141.0,13.0,4H,0.1443701849651173
28,699.0,48.0,34.0,wma,StochAstic_k,0.6918275192186103,0.6798675673073578,1.0,242.0,15.0,4H,0.1413159348409575
29,303.0,83.0,7.0,wma,StochAstic_k,0.2070720207088553,0.2089990518434224,1.0,476.0,5.0,4H,0.1374481807509337
30,499.0,293.0,46.0,wma,StochAstic_d,0.8169663242312786,0.7806185530747124,5.0,243.0,46.0,4H,0.1366367966663722
31,238.0,76.0,25.0,sma,StochAstic_d,0.3985321372013806,0.3906937638816907,4.0,131.0,12.0,4H,0.1296609764002008
32,102.0,30.0,13.0,wma,StochAstic_d,0.3881003094979357,0.4016976957885489,2.0,191.0,100.0,4H,0.123218199525456
33,738.0,234.0,6.0,wma,StochAstic_k,0.6828406690060469,0.65974246737723,6.0,124.0,27.0,4H,0.121688985444483
34,402.0,292.0,38.0,sma,StochAstic_k,0.5347518829887459,0.5047074375377533,5.0,30.0,24.0,4H,0.117430549342486
35,265.0,68.0,29.0,sma,StochAstic_d,0.4307639802941184,0.424509318496629,4.0,262.0,9.0,4H,0.103139721218269
36,369.0,202.0,21.0,sma,StochAstic_d,0.515801332375822,0.5268700338201654,5.0,315.0,8.0,4H,0.1028210378288972
37,554.0,356.0,10.0,ema,StochAstic_k,0.2461823019112466,0.2419501970807034,3.0,482.0,14.0,4H,0.0941247021012729
38,304.0,39.0,47.0,sma,StochAstic_d,0.2309671874577026,0.1187559591115448,4.0,418.0,2.0,4H,0.0759932864520612
5,430.0,356.0,40.0,sma,StochAstic_k,0.23434509718561328,0.2343243028966252,6.0,290.0,20.0,4H,0.06906767212362819
39,50.0,25.0,23.0,ema,StochAstic_d,0.0761498710140507,0.0839243332864602,4.0,486.0,10.0,4H,0.0601190343630551
40,421.0,157.0,44.0,ema,StochAstic_k,0.1708486515579388,0.1280832394512507,3.0,404.0,13.0,4H,0.0559411360618081
41,541.0,35.0,35.0,sma,StochAstic_k,0.083494588644698,0.0828416020160499,6.0,397.0,6.0,4H,0.0410489707994089
42,610.0,142.0,10.0,wma,StochAstic_k,0.0591431408062934,0.0832554214345943,4.0,161.0,45.0,4H,0.0270059193474321
43,119.0,43.0,15.0,sma,StochAstic_d,0.0412180292455171,0.0275347365034486,4.0,384.0,30.0,4H,0.0238808509475332
